path,protocol,split,task,class_name,label,subject,chunk
Final Project data\Final Project data\Cross\train\rest_164636_6.h5,Cross,train,rest,rest,0,164636,6
Final Project data\Final Project data\Cross\train\rest_164636_7.h5,Cross,train,rest,rest,0,164636,7
Final Project data\Final Project data\Cross\train\rest_164636_8.h5,Cross,train,rest,rest,0,164636,8
Final Project data\Final Project data\Cross\train\task_motor_113922_1.h5,Cross,train,task_motor,motor,3,113922,1
Final Project data\Final Project data\Cross\train\task_motor_113922_2.h5,Cross,train,task_motor,motor,3,113922,2
Final Project data\Final Project data\Cross\train\task_motor_113922_3.h5,Cross,train,task_motor,motor,3,113922,3
Final Project data\Final Project data\Cross\train\task_motor_113922_4.h5,Cross,train,task_motor,motor,3,113922,4
Final Project data\Final Project data\Cross\train\task_motor_113922_5.h5,Cross,train,task_motor,motor,3,113922,5
Final Project data\Final Project data\Cross\train\task_motor_113922_6.h5,Cross,train,task_motor,motor,3,113922,6
Final Project data\Final Project data\Cross\train\task_motor_113922_7.h5,Cross,train,task_motor,motor,3,113922,7
Final Project data\Final Project data\Cross\train\task_motor_113922_8.h5,Cross,train,task_motor,motor,3,113922,8
Final Project data\Final Project data\Cross\train\task_motor_164636_1.h5,Cross,train,task_motor,motor,3,164636,1
Final Project data\Final Project data\Cross\train\task_motor_164636_2.h5,Cross,train,task_motor,motor,3,164636,2
Final Project data\Final Project data\Cross\train\task_motor_164636_3.h5,Cross,train,task_motor,motor,3,164636,3
Final Project data\Final Project data\Cross\train\task_motor_164636_4.h5,Cross,train,task_motor,motor,3,164636,4
Final Project data\Final Project data\Cross\train\task_motor_164636_5.h5,Cross,train,task_motor,motor,3,164636,5
Final Project data\Final Project data\Cross\train\task_motor_164636_6.h5,Cross,train,task_motor,motor,3,164636,6
Final Project data\Final Project data\Cross\train\task_motor_164636_7.h5,Cross,train,task_motor,motor,3,164636,7
Final Project data\Final Project data\Cross\train\task_motor_164636_8.h5,Cross,train,task_motor,motor,3,164636,8
Final Project data\Final Project data\Cross\train\task_story_math_113922_1.h5,Cross,train,task_story_math,math_story,1,113922,1
Final Project data\Final Project data\Cross\train\task_story_math_113922_2.h5,Cross,train,task_story_math,math_story,1,113922,2
Final Project data\Final Project data\Cross\train\task_story_math_113922_3.h5,Cross,train,task_story_math,math_story,1,113922,3
Final Project data\Final Project data\Cross\train\task_story_math_113922_4.h5,Cross,train,task_story_math,math_story,1,113922,4
Final Project data\Final Project data\Cross\train\task_story_math_113922_5.h5,Cross,train,task_story_math,math_story,1,113922,5
Final Project data\Final Project data\Cross\train\task_story_math_113922_6.h5,Cross,train,task_story_math,math_story,1,113922,6
Final Project data\Final Project data\Cross\train\task_story_math_113922_7.h5,Cross,train,task_story_math,math_story,1,113922,7
Final Project data\Final Project data\Cross\train\task_story_math_113922_8.h5,Cross,train,task_story_math,math_story,1,113922,8
Final Project data\Final Project data\Cross\train\task_story_math_164636_1.h5,Cross,train,task_story_math,math_story,1,164636,1
Final Project data\Final Project data\Cross\train\task_story_math_164636_2.h5,Cross,train,task_story_math,math_story,1,164636,2
Final Project data\Final Project data\Cross\train\task_story_math_164636_3.h5,Cross,train,task_story_math,math_story,1,164636,3
Final Project data\Final Project data\Cross\train\task_story_math_164636_4.h5,Cross,train,task_story_math,math_story,1,164636,4
Final Project data\Final Project data\Cross\train\task_story_math_164636_5.h5,Cross,train,task_story_math,math_story,1,164636,5
Final Project data\Final Project data\Cross\train\task_story_math_164636_6.h5,Cross,train,task_story_math,math_story,1,164636,6
Final Project data\Final Project data\Cross\train\task_story_math_164636_7.h5,Cross,train,task_story_math,math_story,1,164636,7
Final Project data\Final Project data\Cross\train\task_story_math_164636_8.h5,Cross,train,task_story_math,math_story,1,164636,8
Final Project data\Final Project data\Cross\train\task_working_memory_113922_1.h5,Cross,train,task_working_memory,working_memory,2,113922,1
Final Project data\Final Project data\Cross\train\task_working_memory_113922_2.h5,Cross,train,task_working_memory,working_memory,2,113922,2
Final Project data\Final Project data\Cross\train\task_working_memory_113922_3.h5,Cross,train,task_working_memory,working_memory,2,113922,3
Final Project data\Final Project data\Cross\train\task_working_memory_113922_4.h5,Cross,train,task_working_memory,working_memory,2,113922,4
Final Project data\Final Project data\Cross\train\task_working_memory_113922_5.h5,Cross,train,task_working_memory,working_memory,2,113922,5
Final Project data\Final Project data\Cross\train\task_working_memory_113922_6.h5,Cross,train,task_working_memory,working_memory,2,113922,6
Final Project data\Final Project data\Cross\train\task_working_memory_113922_7.h5,Cross,train,task_working_memory,working_memory,2,113922,7
Final Project data\Final Project data\Cross\train\task_working_memory_113922_8.h5,Cross,train,task_working_memory,working_memory,2,113922,8
Final Project data\Final Project data\Cross\train\task_working_memory_164636_1.h5,Cross,train,task_working_memory,working_memory,2,164636,1
Final Project data\Final Project data\Cross\train\task_working_memory_164636_2.h5,Cross,train,task_working_memory,working_memory,2,164636,2
Final Project data\Final Project data\Cross\train\task_working_memory_164636_3.h5,Cross,train,task_working_memory,working_memory,2,164636,3
Final Project data\Final Project data\Cross\train\task_working_memory_164636_4.h5,Cross,train,task_working_memory,working_memory,2,164636,4
Final Project data\Final Project data\Cross\train\task_working_memory_164636_5.h5,Cross,train,task_working_memory,working_memory,2,164636,5
Final Project data\Final Project data\Cross\train\task_working_memory_164636_6.h5,Cross,train,task_working_memory,working_memory,2,164636,6
Final Project data\Final Project data\Cross\train\task_working_memory_164636_7.h5,Cross,train,task_working_memory,working_memory,2,164636,7
Final Project data\Final Project data\Cross\train\task_working_memory_164636_8.h5,Cross,train,task_working_memory,working_memory,2,164636,8
Final Project data\Final Project data\Intra\test\rest_105923_10.h5,Intra,test,rest,rest,0,105923,10
Final Project data\Final Project data\Intra\test\rest_105923_9.h5,Intra,test,rest,rest,0,105923,9
Final Project data\Final Project data\Intra\test\task_motor_105923_10.h5,Intra,test,task_motor,motor,3,105923,10
Final Project data\Final Project data\Intra\test\task_motor_105923_9.h5,Intra,test,task_motor,motor,3,105923,9
Final Project data\Final Project data\Intra\test\task_story_math_105923_10.h5,Intra,test,task_story_math,math_story,1,105923,10
Final Project data\Final Project data\Intra\test\task_story_math_105923_9.h5,Intra,test,task_story_math,math_story,1,105923,9
Final Project data\Final Project data\Intra\test\task_working_memory_105923_10.h5,Intra,test,task_working_memory,working_memory,2,105923,10
Final Project data\Final Project data\Intra\test\task_working_memory_105923_9.h5,Intra,test,task_working_memory,working_memory,2,105923,9
Final Project data\Final Project data\Intra\train\rest_105923_1.h5,Intra,train,rest,rest,0,105923,1
Final Project data\Final Project data\Intra\train\rest_105923_2.h5,Intra,train,rest,rest,0,105923,2
Final Project data\Final Project data\Intra\train\rest_105923_3.h5,Intra,train,rest,rest,0,105923,3
Final Project data\Final Project data\Intra\train\rest_105923_4.h5,Intra,train,rest,rest,0,105923,4
Final Project data\Final Project data\Intra\train\rest_105923_5.h5,Intra,train,rest,rest,0,105923,5
Final Project data\Final Project data\Intra\train\rest_105923_6.h5,Intra,train,rest,rest,0,105923,6
Final Project data\Final Project data\Intra\train\rest_105923_7.h5,Intra,train,rest,rest,0,105923,7
Final Project data\Final Project data\Intra\train\rest_105923_8.h5,Intra,train,rest,rest,0,105923,8
Final Project data\Final Project data\Intra\train\task_motor_105923_1.h5,Intra,train,task_motor,motor,3,105923,1
Final Project data\Final Project data\Intra\train\task_motor_105923_2.h5,Intra,train,task_motor,motor,3,105923,2
Final Project data\Final Project data\Intra\train\task_motor_105923_3.h5,Intra,train,task_motor,motor,3,105923,3
Final Project data\Final Project data\Intra\train\task_motor_105923_4.h5,Intra,train,task_motor,motor,3,105923,4
Final Project data\Final Project data\Intra\train\task_motor_105923_5.h5,Intra,train,task_motor,motor,3,105923,5
Final Project data\Final Project data\Intra\train\task_motor_105923_6.h5,Intra,train,task_motor,motor,3,105923,6
Final Project data\Final Project data\Intra\train\task_motor_105923_7.h5,Intra,train,task_motor,motor,3,105923,7
Final Project data\Final Project data\Intra\train\task_motor_105923_8.h5,Intra,train,task_motor,motor,3,105923,8
Final Project data\Final Project data\Intra\train\task_story_math_105923_1.h5,Intra,train,task_story_math,math_story,1,105923,1
Final Project data\Final Project data\Intra\train\task_story_math_105923_2.h5,Intra,train,task_story_math,math_story,1,105923,2
Final Project data\Final Project data\Intra\train\task_story_math_105923_3.h5,Intra,train,task_story_math,math_story,1,105923,3
Final Project data\Final Project data\Intra\train\task_story_math_105923_4.h5,Intra,train,task_story_math,math_story,1,105923,4
Final Project data\Final Project data\Intra\train\task_story_math_105923_5.h5,Intra,train,task_story_math,math_story,1,105923,5
Final Project data\Final Project data\Intra\train\task_story_math_105923_6.h5,Intra,train,task_story_math,math_story,1,105923,6
Final Project data\Final Project data\Intra\train\task_story_math_105923_7.h5,Intra,train,task_story_math,math_story,1,105923,7
Final Project data\Final Project data\Intra\train\task_story_math_105923_8.h5,Intra,train,task_story_math,math_story,1,105923,8
Final Project data\Final Project data\Intra\train\task_working_memory_105923_1.h5,Intra,train,task_working_memory,working_memory,2,105923,1
Final Project data\Final Project data\Intra\train\task_working_memory_105923_2.h5,Intra,train,task_working_memory,working_memory,2,105923,2
Final Project data\Final Project data\Intra\train\task_working_memory_105923_3.h5,Intra,train,task_working_memory,working_memory,2,105923,3
Final Project data\Final Project data\Intra\train\task_working_memory_105923_4.h5,Intra,train,task_working_memory,working_memory,2,105923,4
Final Project data\Final Project data\Intra\train\task_working_memory_105923_5.h5,Intra,train,task_working_memory,working_memory,2,105923,5
Final Project data\Final Project data\Intra\train\task_working_memory_105923_6.h5,Intra,train,task_working_memory,working_memory,2,105923,6
Final Project data\Final Project data\Intra\train\task_working_memory_105923_7.h5,Intra,train,task_working_memory,working_memory,2,105923,7
Final Project data\Final Project data\Intra\train\task_working_memory_105923_8.h5,Intra,train,task_working_memory,working_memory,2,105923,8
